airline,nb_bumped,total_passengers,bumps_per_10k
AMERICAN AIRLINES,4517,5000,9034.0
JETBLUE AIRWAYS,1475,2000,7375.0
UNITED AIRLINES,2067,3000,6889.999999999999
FRONTIER AIRLINES,540,800,6750.0
SOUTHWEST AIRLINES,6678,10000,6677.999999999999
ALASKA AIRLINES,658,1000,6580.0
EXPRESSJET AIRLINES,785,1200,6541.666666666667
HAWAIIAN AIRLINES,92,150,6133.333333333333
SKYWEST AIRLINES,917,1500,6113.333333333333
SPIRIT AIRLINES,1502,2500,6008.0
DELTA AIR LINES,679,2500,2716.0
VIRGIN AMERICA,165,2000,825.0
